file,reason,confidence
curated\furnitur-detail\2023-02-27_CpJUPKfSrvM,unggahan-satu-foto,-
curated\furnitur-detail\2023-02-28_CpL4nTNSGfk,unggahan-satu-foto,-
curated\furnitur-detail\2023-02-28_CpL4pQqSKiY,unggahan-satu-foto,-
curated\furnitur-detail\2023-03-15_Cpz8u8MpdnZ,unggahan-satu-foto,-
curated\furnitur-detail\2023-03-16_Cp2LuvsJo84,unggahan-satu-foto,-
curated\furnitur-detail\2023-04-15_CrDxWQipkZk,unggahan-satu-foto,-
curated\furnitur-detail\2023-05-24_CsnGk3TRSN2,unggahan-satu-foto,-
curated\furnitur-detail\2023-07-07_CuZPgfCxh4h,unggahan-satu-foto,-
curated\furnitur-detail\2023-07-07_CuZPSxbR49d,unggahan-satu-foto,-
curated\furnitur-detail\2023-07-09_CudfINDRRV7,unggahan-satu-foto,-
curated\furnitur-detail\2023-08-02_CvcXhrQRsQG,unggahan-satu-foto,-
curated\furnitur-detail\2023-08-03_CverqtvxWpv,unggahan-satu-foto,-
curated\furnitur-detail\2023-08-10_CvwPaURRKxF,unggahan-satu-foto,-
curated\furnitur-detail\2023-08-18_CwFhKz0R0VY,unggahan-satu-foto,-
curated\furnitur-detail\2023-08-22_CwO70FfRYqT,unggahan-satu-foto,-
curated\furnitur-detail\2023-09-05_Cwz0MtExMG-,unggahan-satu-foto,-
curated\furnitur-detail\2023-09-07_Cw49viXxVrh,unggahan-satu-foto,-
curated\furnitur-detail\2023-10-03_Cx8AIW0Rqi8,unggahan-satu-foto,-
curated\furnitur-detail\2023-10-04_Cx-2BFjRrXt,unggahan-satu-foto,-
curated\furnitur-detail\2023-10-04_Cx-tDSERHI4,unggahan-satu-foto,-
curated\furnitur-detail\2023-10-19_CykNwPGxDc8,unggahan-satu-foto,-
curated\furnitur-detail\2023-10-20_CyoxxDySdyh,unggahan-satu-foto,-
curated\furnitur-detail\2023-10-30_CzAVUIUxMWM,unggahan-satu-foto,-
curated\furnitur-detail\2023-10-30_CzAVVA2xpEO,unggahan-satu-foto,-
curated\furnitur-detail\2024-05-05_C6krZLnRN7s,unggahan-satu-foto,-
curated\furnitur-detail\2024-07-24_C9zPwDEJyVq,unggahan-satu-foto,-
curated\furnitur-detail\2024-07-26_C93xij6p3-i,unggahan-satu-foto,-
curated\furnitur-detail\2024-11-28_DC52e1cTxsm,unggahan-satu-foto,-
curated\furnitur-detail\2025-10-08_DPim9-HEzNT,unggahan-satu-foto,-
curated\furnitur-detail\2025-10-10_DPnwmlrk1tJ,unggahan-satu-foto,-
curated\furnitur-detail\2025-10-13_DPve6Suk_Td,unggahan-satu-foto,-
curated\furnitur-detail\2025-10-24_DQLzrRUk8s6,unggahan-satu-foto,-
curated\furnitur-detail\2025-11-11_DQ6KBJpE3od,unggahan-satu-foto,-
curated\furnitur-detail\2025-11-14_DRB4g4AE3VZ,unggahan-satu-foto,-
curated\furnitur-detail\2025-11-17_DRJm0suE2gg,unggahan-satu-foto,-
curated\furnitur-detail\2025-11-18_DRMLiEDk_IJ,unggahan-satu-foto,-
curated\furnitur-detail\2025-11-25_DReNL8UEzrO,unggahan-satu-foto,-
curated\furnitur-detail\2025-11-26_DRgx5kwkwoB,unggahan-satu-foto,-
curated\furnitur-detail\2025-12-11_DSHZ1yKARW2,unggahan-satu-foto,-
curated\furnitur-detail\2025-12-12_DSJ-mt5k6wS,unggahan-satu-foto,-
curated\furnitur-detail\2025-12-26_DSuTWxNE6kp,unggahan-satu-foto,-
curated\furnitur-detail\2025-12-29_DS12aUxkzuG,unggahan-satu-foto,-
curated\furnitur-detail\2026-01-07_DTM9xhxE2qA,unggahan-satu-foto,-
curated\furnitur-detail\2026-01-13_DTcYjwAk6On,unggahan-satu-foto,-
curated\furnitur-detail\2026-01-17_DTmrTHek9c8,unggahan-satu-foto,-
curated\furnitur-detail\2026-01-23_DT2L6HSEyvT,unggahan-satu-foto,-
curated\furnitur-detail\2026-03-02_DVX-QRnkxvr,unggahan-satu-foto,-
curated\furnitur-detail\2026-03-05_DVfsnPQk255,unggahan-satu-foto,-
curated\furnitur-detail\2026-03-29_DWdLK46E5AG,unggahan-satu-foto,-
curated\furnitur-detail\2026-04-16_DXLvKX5E3zx,unggahan-satu-foto,-
curated\kamar-mandi\2022-01-03_CYQevLUp9pI,unggahan-satu-foto,-
curated\kamar-mandi\2022-01-07_CYataBJpfkC,unggahan-satu-foto,-
curated\kamar-mandi\2022-01-07_CYaXe34JCPe,unggahan-satu-foto,-
curated\kamar-mandi\2022-01-15_CYvLpusp7EA,unggahan-satu-foto,-
curated\kamar-mandi\2022-01-17_CY1QmOwJf9F,unggahan-satu-foto,-
curated\kamar-mandi\2022-07-02_CffnfvFpoOf,unggahan-satu-foto,-
curated\kamar-mandi\2023-01-23_CnvTfPfpJji,unggahan-satu-foto,-
curated\kamar-mandi\2023-08-02_CvcXQCeR5XI,unggahan-satu-foto,-
curated\kamar-mandi\2023-10-24_CyxztF8RZhr,unggahan-satu-foto,-
curated\kamar-mandi\2024-07-04_C8_qKbGRYEx,unggahan-satu-foto,-
curated\kamar-mandi\2025-10-16_DP3NYiykxEN,unggahan-satu-foto,-
curated\kamar-mandi\2025-11-12_DQ8uzuik7u7,unggahan-satu-foto,-
curated\kamar-mandi\2025-11-20_DRRVJAVk2KP,unggahan-satu-foto,-
curated\kamar-mandi\2025-12-31_DS6_XrIk0ke,unggahan-satu-foto,-
curated\kamar-mandi\2026-02-23_DVGKduXE45i,unggahan-satu-foto,-
curated\kamar-tidur\2022-01-07_CYahTiDp8FX,unggahan-satu-foto,-
curated\kamar-tidur\2022-01-07_CYaXzLxpWeD,unggahan-satu-foto,-
curated\kamar-tidur\2022-01-11_CYlVfuSJJMp,unggahan-satu-foto,-
