post,file,classification,destination_category,confidence,action
2022-01-20_CY8DnUmpB0C,daikuinterior_CY8DnUmpB0C_0.jpg,furnitur-detail,furnitur-detail,0.7571,moved
2022-01-20_CY8Qn1GJxF1,daikuinterior_CY8Qn1GJxF1_0.jpg,ruang-keluarga,ruang-keluarga,0.466,moved
2022-01-21_CY-6na-J-Ma,daikuinterior_CY-6na-J-Ma_0.jpg,ruang-usaha,ruang-usaha,0.6918,moved
2022-01-21_CY-XyqwJl29,daikuinterior_CY-XyqwJl29_0.jpg,ruang-makan,ruang-makan,0.4886,moved
2022-01-21_CY-YIhgJHsi,daikuinterior_CY-YIhgJHsi_0.jpg,furnitur-detail,furnitur-detail,0.9275,moved
2022-01-22_CZA8v0UJzKd,daikuinterior_CZA8v0UJzKd_0.jpg,furnitur-detail,furnitur-detail,0.9581,moved
2022-01-26_CZLMya8JQK_,daikuinterior_CZLMya8JQK__0.jpg,furnitur-detail,furnitur-detail,0.5166,moved
2022-01-26_CZLNFLMJkGC,daikuinterior_CZLNFLMJkGC_0.jpg,furnitur-detail,furnitur-detail,0.5018,moved
2022-01-26_CZLNFLMJkGC,daikuinterior_CZLNFLMJkGC_1.jpg,furnitur-detail,furnitur-detail,0.7805,moved
2022-01-26_CZLNFLMJkGC,daikuinterior_CZLNFLMJkGC_2.jpg,furnitur-detail,furnitur-detail,0.5662,moved
2022-01-26_CZLNRUppJWP,daikuinterior_CZLNRUppJWP_0.jpg,furnitur-detail,furnitur-detail,0.9688,moved
2022-01-27_CZN4cQIp2MW,daikuinterior_CZN4cQIp2MW_0.jpg,furnitur-detail,furnitur-detail,0.9712,moved
2022-01-27_CZN4mCeJ_vn,daikuinterior_CZN4mCeJ_vn_0.jpg,furnitur-detail,furnitur-detail,0.9413,moved
2022-01-27_CZNwfMJPQPF,daikuinterior_CZNwfMJPQPF_0.jpg,furnitur-detail,furnitur-detail,0.8415,moved
2022-01-27_CZNwoHNv7N_,daikuinterior_CZNwoHNv7N__0.jpg,furnitur-detail,furnitur-detail,0.3745,moved
2022-01-28_CZQ6DiUpJ_7,daikuinterior_CZQ6DiUpJ_7_0.jpg,dapur,dapur,0.9031,moved
2022-01-31_CZYddN4Jj4N,daikuinterior_CZYddN4Jj4N_0.jpg,ruang-usaha,ruang-usaha,0.6165,moved
2022-01-31_CZYddN4Jj4N,daikuinterior_CZYddN4Jj4N_1.jpg,ruang-usaha,ruang-usaha,0.6569,moved
2022-01-31_CZZHeBkpkio,daikuinterior_CZZHeBkpkio_0.jpg,furnitur-detail,furnitur-detail,0.9695,moved
2022-02-01_CZaleHjvngX,daikuinterior_CZaleHjvngX_0.jpg,promosi,promosi,0.9446,moved
2022-02-01_CZaluMDPICl,daikuinterior_CZaluMDPICl_0.jpg,furnitur-detail,furnitur-detail,0.7668,moved
2022-02-01_CZalv33vNSX,daikuinterior_CZalv33vNSX_0.jpg,furnitur-detail,furnitur-detail,0.9379,moved
